State,Clinton,Trump,Others,Clinton %,Trump %,Democratic Margin
AL,"729,547","1,318,255","75,570",34.4,62.1,-27.7
AK,"116,454","163,387","38,767",36.6,51.3,-14.7
AZ,"1,161,167","1,252,401","159,597",45.1,48.7,-3.5
AR,"380,494","684,872","65,269",33.7,60.6,-26.9
CA,"8,753,788","4,483,810","943,997",61.7,31.6,30.1
CO,"1,338,870","1,202,484","238,866",48.2,43.3,4.9
CT,"897,572","673,215","74,133",54.6,40.9,13.6
DE,"235,603","185,127","20,860",53.4,41.9,11.4
DC,"282,830","12,723","15,715",90.9,4.1,86.8
FL,"4,504,975","4,617,886","297,178",47.8,49,-1.2
GA,"1,877,963","2,089,104","125,306",45.9,51,-5.2
HI,"266,891","128,847","33,199",62.2,30,32.2
ID,"189,765","409,055","91,435",27.5,59.3,-31.8
IL,"3,090,729","2,146,015","299,680",55.8,38.8,17.1
IN,"1,033,126","1,557,286","144,546",37.8,56.9,-19.2
IA,"653,669","800,983","111,379",41.7,51.1,-9.4
KS,"427,005","671,018","86,379",36.1,56.7,-20.6
KY,"628,854","1,202,971","92,324",32.7,62.5,-29.8
LA,"780,154","1,178,638","70,240",38.4,58.1,-19.6
ME,"357,735","335,593","54,599",47.8,44.9,3
MD,"1,677,928","943,169","160,349",60.3,33.9,26.4
MA,"1,995,196","1,090,893","238,957",60,32.8,27.2
MI,"2,268,839","2,279,543","250,902",47.3,47.5,-0.2
MN,"1,367,716","1,322,951","254,146",46.4,44.9,1.5
MS,"485,131","700,714","23,512",40.1,57.9,-17.8
MO,"1,071,068","1,594,511","143,026",38.1,56.8,-18.6
MT,"177,709","279,240","40,198",35.7,56.2,-20.4
NE,"284,494","495,961","63,772",33.7,58.7,-25
NV,"539,260","512,058","74,067",47.9,45.5,2.4
NH,"348,526","345,790","49,842",46.8,46.5,0.4
NJ,"2,148,278","1,601,933","123,835",55.5,41.4,14.1
NM,"385,234","319,666","93,418",48.3,40,8.2
NY,"4,556,124","2,819,534","345,795",59,36.5,22.5
NC,"2,189,316","2,362,631","189,617",46.2,49.8,-3.7
ND,"93,758","216,794","33,808",27.2,63,-35.7
OH,"2,394,164","2,841,005","261,318",43.6,51.7,-8.1
OK,"420,375","949,136","83,481",28.9,65.3,-36.4
OR,"1,002,106","782,403","216,827",50.1,39.1,11
PA,"2,926,441","2,970,733","218,228",47.9,48.6,-0.7
RI,"252,525","180,543","31,076",54.4,38.9,15.5
SC,"855,373","1,155,389","92,265",40.7,54.9,-14.3
SD,"117,458","227,721","24,914",31.7,61.5,-29.8
TN,"870,695","1,522,925","114,407",34.7,60.7,-26
TX,"3,877,868","4,685,047","406,311",43.2,52.2,-9
UT,"310,676","515,231","305,523",27.5,45.5,-18.1
VT,"178,573","95,369","41,125",56.7,30.3,26.4
VA,"1,981,473","1,769,443","231,836",49.8,44.4,5.3
WA,"1,742,718","1,221,747","401,179",51.8,36.3,15.5
WV,"188,794","489,371","34,886",26.5,68.6,-42.2
WI,"1,382,536","1,405,284","188,330",46.5,47.2,-0.8
WY,"55,973","174,419","25,457",21.9,68.2,-46.3
