Metro Area,Total % Intermarried,Whites,Blacks,Hispanics,Asians
"Akron, OH",12,7,,,
"Albany-Schenectady-Troy, NY",14,6,,,
"Albuquerque, NM",28,,,,
"Allentown-Bethlehem-Easton, PA-NJ",17,7,,,
"Anchorage, AK",28,,,,
"Asheville, NC",3,1,,,
"Atlanta-Sandy Springs-Roswell, GA",14,9,12,25,
"Augusta-Richmond County, GA-SC",13,6,,,
"Austin-Round Rock, TX",21,15,,26,
"Bakersfield, CA",17,,,,
"Baltimore-Columbia-Towson, MD",15,10,12,,
"Baton Rouge, LA",8,6,,,
"Beaumont-Port Arthur, TX",11,,,,
"Birmingham-Hoover, AL",6,3,,,
"Boise City, ID",23,14,,,
"Boston-Cambridge-Newton, MA-NH",14,8,,28,24
"Bridgeport-Stamford-Norwalk, CT",15,10,,,
"Buffalo-Cheektowaga-Niagara Falls, NY",16,9,,,
"Cape Coral-Fort Myers, FL",11,8,,,
"Charleston-North Charleston, SC",13,7,,,
"Charlotte-Concord-Gastonia, NC-SC",16,10,,,
"Chattanooga, TN-GA",5,3,,,
"Chicago-Naperville-Elgin, IL-IN-WI",19,14,13,24,35
"Cincinnati, OH-KY-IN",9,5,,,
"Clarksville, TN-KY",21,11,,,
"Cleveland-Elyria, OH",12,7,,,
"Colorado Springs, CO",18,9,,,
"Columbia, SC",12,8,,,
"Columbus, OH",11,6,,,
"Corpus Christi, TX",22,,,,
"Dallas-Fort Worth-Arlington, TX",19,15,14,22,29
"Dayton, OH",11,5,,,
"Deltona-Daytona Beach-Ormond Beach, FL",15,9,,,
"Denver-Aurora-Lakewood, CO",22,14,,36,
"Des Moines-West Des Moines, IA",11,5,,,
"Detroit-Warren-Dearborn, MI",10,6,9,,
"El Paso, TX",22,,,14,
"Eugene, OR",23,,,,
"Fayetteville, NC",29,19,,,
"Fayetteville-Springdale-Rogers, AR-MO",17,11,,,
"Fort Wayne, IN",15,9,,,
"Fresno, CA",23,,,,
"Gainesville, FL",22,,,,
"Grand Rapids-Wyoming, MI",16,9,,,
"Greensboro-High Point, NC",9,5,,,
"Greenville-Anderson-Mauldin, SC",6,3,,,
"Harrisburg-Carlisle, PA",16,9,,,
"Hartford-West Hartford-East Hartford, CT",17,11,,,
"Hickory-Lenoir-Morganton, NC",10,,,,
"Honolulu, HI",42,34,,,32
"Houston-The Woodlands-Sugar Land, TX",19,19,11,19,22
"Indianapolis-Carmel-Anderson, IN",11,6,,,
"Jackson, MS",3,,,,
"Jacksonville, FL",16,10,,,
"Kalamazoo-Portage, MI",20,,,,
"Kansas City, MO-KS",13,7,,,
"Knoxville, TN",12,6,,,
"Lafayette, LA",9,5,,,
"Lakeland-Winter Haven, FL",15,10,,,
"Lancaster, PA",11,,,,
"Lansing-East Lansing, MI",11,6,,,
"Las Vegas-Henderson-Paradise, NV",31,26,,30,
"Little Rock-North Little Rock-Conway, AR",14,4,,,
"Los Angeles-Long Beach-Anaheim, CA",22,23,30,16,24
"Louisville-Jefferson County, KY-IN",9,5,,,
"McAllen-Edinburg-Mission, TX",11,,,6,
"Memphis, TN-MS-AR",10,7,,,
"Miami-Fort Lauderdale-West Palm Beach, FL",24,28,14,20,
"Milwaukee-Waukesha-West Allis, WI",13,8,,,
"Minneapolis-St. Paul-Bloomington, MN-WI",15,9,,,
"Mobile, AL",10,,,,
"Modesto, CA",26,,,,
"Nashville-Davidson–Murfreesboro–Franklin, TN",10,6,,,
"New Haven-Milford, CT",10,6,,,
"New Orleans-Metairie, LA",16,12,,,
"New York-Newark-Jersey City, NY-NJ-PA",18,14,15,23,21
"North Port-Sarasota-Bradenton, FL",13,8,,,
"Ogden-Clearfield, UT",27,16,,,
"Oklahoma City, OK",23,14,,,
"Omaha-Council Bluffs, NE-IA",15,8,,,
"Orlando-Kissimmee-Sanford, FL",24,20,,25,
"Oxnard-Thousand Oaks-Ventura, CA",22,20,,,
"Palm Bay-Melbourne-Titusville, FL",29,,,,
"Pensacola-Ferry Pass-Brent, FL",18,11,,,
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",14,8,14,,
"Phoenix-Mesa-Scottsdale, AZ",25,18,,32,
"Pittsburgh, PA",10,5,,,
"Portland-South Portland, ME",10,4,,,
"Portland-Vancouver-Hillsboro, OR-WA",19,11,,,
"Providence-Warwick, RI-MA",11,7,,,
"Provo-Orem, UT",14,7,,,
"Raleigh, NC",16,10,,,
"Reno, NV",21,13,,,
"Richmond, VA",12,8,,,
"Riverside-San Bernardino-Ontario, CA",25,25,,20,
"Rochester, NY",15,7,,,
"Sacramento–Roseville–Arden-Arcade, CA",26,20,,33,
"Salinas, CA",16,,,,
"Salisbury, MD-DE",10,,,,
"Salt Lake City, UT",18,10,,,
"San Antonio-New Braunfels, TX",23,27,,19,
"San Diego-Carlsbad, CA",27,20,,26,34
"San Francisco-Oakland-Hayward, CA",26,22,,28,21
"San Jose-Sunnyvale-Santa Clara, CA",24,27,,22,16
"Santa Maria-Santa Barbara, CA",30,,,,
"Santa Rosa, CA",19,,,,
"Scranton–Wilkes-Barre–Hazleton, PA",9,3,,,
"Seattle-Tacoma-Bellevue, WA",20,13,,,24
"Shreveport-Bossier City, LA",18,,,,
"Spokane-Spokane Valley, WA",17,8,,,
"Springfield, MA",12,8,,,
"Springfield, MO",15,,,,
"St. Louis, MO-IL",11,6,,,
"Stockton-Lodi, CA",28,,,,
"Syracuse, NY",12,6,,,
"Tampa-St. Petersburg-Clearwater, FL",22,14,,36,
"Toledo, OH",20,11,,,
"Tucson, AZ",25,20,,,
"Virginia Beach-Norfolk-Newport News, VA-NC",20,14,13,,
"Visalia-Porterville, CA",11,,,,
"Washington-Arlington-Alexandria, DC-VA-MD-WV",19,14,16,26,28
"Wichita, KS",13,8,,,
"Winston-Salem, NC",16,11,,,
"Worcester, MA-CT",17,8,,,
"York-Hanover, PA",11,,,,
"Youngstown-Warren-Boardman, OH-PA",4,2,,,
